City,NOC Host Country,Games
Athens,GRE,Summer 1896
Paris,FRA,Summer 1900
St Louis,USA,Summer 1904
London,GBR,Summer
Stockholm,SWE,Summer
Antwerp,BEL,Summer
Paris,FRA,,Summer
Amsterdam,NED,Summer
Los Angeles,USA,Summer
Berlin,GER,Summer
London,GBR,,Summer
Helsinki,FIN,Summer
Melbourne,AUS,Summer
Stockholm,SWE,Summer
Rome,ITA,Summer
Tokyo,JPN,Summer
Mexico City,MEX,Summer
Munich,GER,Summer
Montreal,CAN,Summer
Moscow,URS,Summer
Seoul,KOR,Summer
Barcelona,ESP,Summer
Atlanta,USA,Summer
Sydney,AUS,Summer
Beijing,CHN,Summer
London,GBR,Summer
Rio de Janeiro,BRA,Summer
Tokyo,JPN,Summer 2020
Chamonix,FRA,Winter
St.Moritz,SUI,Winter
Lake Placid,USA,Winter
Garmisch Partenkirchen,GDR,Winter
Oslo,NOR,Winter
Cortina d'Ampezzo,ITA,Winter
Squaw Valley,USA,Winter
Innsbruck,AUT,Winter
Grenoble,FRA,Winter
Sapporo,JPN,Winter
Sarajevo,YUG,Winter
Calgary,CAN,Winter
Albertville,FRA,Winter
Lillehammer,NOR,Winter
Nagano,JON,Winter
Salt Lake City,USA,Winter
Turin,ITA,Winter
Vancouver,CAN,Winter
Sochi,RUS,Winter
